x;p1;p2;p3;p4
1.525;9.67558e-006;-1.37339e-005;-1.71481e-005;-3.37089e-005
1.53;-2.43826e-006;-9.49926e-006;-1.61461e-005;-3.38599e-005
1.535;-1.0666e-005;-4.50708e-006;-1.50269e-005;-3.38891e-005
1.54;1.26941e-005;-1.92623e-006;-1.38192e-005;-3.38028e-005
1.545;-3.82275e-006;-2.09669e-006;-1.25508e-005;-3.36079e-005
1.55;1.03566e-006;-2.88265e-006;-1.12498e-005;-3.33121e-005
1.555;-3.80533e-006;-1.97468e-006;-9.94429e-006;-3.29236e-005
1.56;5.76957e-007;9.08138e-007;-8.66112e-006;-3.24513e-005
1.565;1.55189e-006;3.85582e-006;-7.4237e-006;-3.19043e-005
1.57;3.74429e-007;4.75025e-006;-6.24897e-006;-3.12921e-005
1.575;-1.48621e-006;3.47167e-006;-5.1444e-006;-3.06247e-005
1.58;5.76701e-006;2.10306e-006;-4.10535e-006;-2.99122e-005
1.585;-2.51269e-006;2.77704e-006;-3.11335e-006;-2.91647e-005
1.59;-7.77571e-006;5.22794e-006;-2.136e-006;-2.83925e-005
1.595;-1.49258e-006;6.6944e-006;-1.12845e-006;-2.76058e-005
1.6;1.07712e-005;4.65227e-006;-3.68225e-008;-2.68146e-005
1.605;3.74961e-006;-2.3255e-007;1.19669e-006;-2.60287e-005
1.61;-3.24149e-006;-4.27418e-006;2.62743e-006;-2.52577e-005
1.615;-4.44453e-006;-4.41691e-006;4.30104e-006;-2.45107e-005
1.62;-2.21253e-005;-1.74338e-006;6.24627e-006;-2.37963e-005
1.625;3.07792e-005;-7.53414e-007;8.46834e-006;-2.31225e-005
1.63;1.67087e-006;-4.55388e-006;1.09438e-005;-2.2497e-005
1.635;-1.39698e-006;-1.08034e-005;1.36178e-005;-2.19265e-005
1.64;-2.12197e-005;-1.3042e-005;1.6403e-005;-2.14171e-005
1.645;1.99781e-006;-6.66699e-006;1.91828e-005;-2.09741e-005
1.65;2.26197e-005;6.07789e-006;2.18161e-005;-2.06019e-005
1.655;-8.80928e-006;1.69865e-005;2.41452e-005;-2.03043e-005
1.66;-7.29085e-006;1.81409e-005;2.6006e-005;-2.00839e-005
1.665;-2.86347e-006;8.36784e-006;2.72394e-005;-1.99427e-005
1.67;1.14308e-005;-5.35081e-006;2.77031e-005;-1.98816e-005
1.675;2.79193e-006;-1.28621e-005;2.72837e-005;-1.99006e-005
1.68;-6.16753e-006;-8.74021e-006;2.59067e-005;-1.99991e-005
1.685;-6.17239e-006;2.97823e-006;2.35453e-005;-2.01752e-005
1.69;-9.4156e-006;1.15559e-005;2.02254e-005;-2.04265e-005
1.695;1.21475e-005;8.40615e-006;1.60283e-005;-2.07497e-005
1.7;3.01143e-005;-5.09401e-006;1.1089e-005;-2.11407e-005
1.705;-1.77492e-005;-1.81003e-005;5.59073e-006;-2.15948e-005
1.71;-3.76864e-005;-1.93857e-005;-2.43358e-007;-2.21065e-005
1.715;1.49581e-005;-6.99335e-006;-6.1623e-006;-2.26698e-005
1.72;1.37962e-005;1.0487e-005;-1.19014e-005;-2.32782e-005
1.725;2.53454e-005;2.1736e-005;-1.7198e-005;-2.39248e-005
1.73;-1.31567e-005;2.14925e-005;-2.18074e-005;-2.46021e-005
1.735;-3.44326e-005;1.23635e-005;-2.55187e-005;-2.53026e-005
1.74;-1.34432e-006;1.06687e-007;-2.81683e-005;-2.60183e-005
1.745;2.45202e-005;-1.08182e-005;-2.9651e-005;-2.67412e-005
1.75;2.52627e-005;-1.73372e-005;-2.9927e-005;-2.74633e-005
1.755;-1.86628e-005;-1.64503e-005;-2.90252e-005;-2.81766e-005
1.76;-1.91152e-005;-7.03874e-006;-2.7041e-005;-2.8873e-005
1.765;-1.11169e-005;6.48233e-006;-2.41299e-005;-2.95448e-005
1.77;1.68427e-005;1.46846e-005;-2.04968e-005;-3.01845e-005
1.775;2.41126e-005;1.01754e-005;-1.63811e-005;-3.07848e-005
1.78;-8.05858e-006;-4.80957e-006;-1.20396e-005;-3.13389e-005
1.785;-1.0494e-005;-1.87715e-005;-7.72829e-006;-3.18403e-005
1.79;-1.68297e-005;-2.0348e-005;-3.6837e-006;-3.2283e-005
1.795;4.52375e-007;-8.18122e-006;-1.06454e-007;-3.26617e-005
1.8;2.85345e-005;8.31606e-006;2.85247e-006;-3.29714e-005
1.805;-1.60329e-006;1.78402e-005;5.10109e-006;-3.3208e-005
1.81;-1.0441e-005;1.6799e-005;6.61083e-006;-3.33677e-005
1.815;-2.29749e-006;1.06589e-005;7.4154e-006;-3.34475e-005
1.82;-9.04842e-006;6.88994e-006;7.60434e-006;-3.3445e-005
1.825;6.2208e-006;7.43892e-006;7.31173e-006;-3.33586e-005
